,1,2
0,1.5808,1.481
1,1.5702,1.4697
2,1.5818,1.4908
3,1.6036,1.517
4,1.5822,1.5112
5,1.5956,1.4993
6,1.5915,1.4763
7,1.5768,1.5071
8,1.5918,1.4933
9,1.597,1.4881
10,1.6302,1.5219
11,1.5796,1.5075
12,1.6093,1.5141
13,1.5911,1.515
14,1.5945,1.4856
15,1.607,1.495
16,1.6059,1.5015
17,1.5823,1.5006
18,1.5897,1.5029
19,1.61,1.4868
20,1.5996,1.4867
21,1.6092,1.5087
22,1.5953,1.4894
23,1.5969,1.5203
24,1.5966,1.5317
25,1.5927,1.4982
26,1.6112,1.51
27,1.63,1.5014
28,1.5987,1.5061
29,1.5948,1.5187
30,1.5728,1.489
31,1.6103,1.4999
32,1.6069,1.494
33,1.5968,1.4912
34,1.5712,1.5003
35,1.6069,1.5037
36,1.6107,1.5216
37,1.5849,1.5068
38,1.5733,1.495
39,1.5884,1.5108
40,1.5735,1.4977
41,1.6061,1.5017
42,1.6074,1.5347
43,1.606,1.4638
44,1.5878,1.4982
45,1.5688,1.4823
46,1.5848,1.4748
47,1.5919,1.4924
48,1.5807,1.496
49,1.5921,1.5087
50,1.5968,1.4862
51,1.5933,1.5001
52,1.5952,1.5013
53,1.6148,1.5295
54,1.5942,1.4986
55,1.6058,1.5295
56,1.6038,1.4884
57,1.6177,1.5032
58,1.5773,1.4968
59,1.5672,1.5035
60,1.6063,1.5126
61,1.5831,1.5042
62,1.5807,1.4816
63,1.5831,1.5124
64,1.5717,1.4899
65,1.6061,1.5067
66,1.5767,1.4916
67,1.6081,1.5158
68,1.601,1.481
69,1.5816,1.4866
70,1.582,1.4863
71,1.59,1.4972
72,1.5911,1.5191
73,1.5806,1.4848
74,1.6001,1.5116
75,1.6276,1.5147
76,1.5865,1.5086
77,1.5781,1.4691
78,1.5998,1.4885
79,1.6017,1.5205
80,1.5998,1.512
81,1.5713,1.4841
82,1.5868,1.5173
83,1.5916,1.5061
84,1.5914,1.5039
85,1.6064,1.511
86,1.5542,1.4625
87,1.5857,1.502
88,1.5964,1.511
89,1.594,1.487
90,1.5952,1.485
91,1.5946,1.4864
92,1.5949,1.5088
93,1.6051,1.4932
94,1.6028,1.5082
95,1.6048,1.4909
96,1.5958,1.4994
97,1.5776,1.4964
98,1.5682,1.5088
99,1.5668,1.4775
100,1.5812,1.5003
101,1.5803,1.4992
102,1.5884,1.5225
103,1.6003,1.5168
104,1.5934,1.4987
105,1.628,1.5046
106,1.5959,1.5013
107,1.5604,1.4635
108,1.5824,1.5017
109,1.6264,1.5113
110,1.6002,1.5323
111,1.5958,1.5285
112,1.617,1.4951
113,1.5976,1.4911
114,1.5916,1.5174
115,1.5877,1.491
116,1.6048,1.5137
117,1.614,1.5181
118,1.5881,1.483
119,1.5608,1.4819
120,1.5857,1.4882
121,1.58,1.4875
122,1.6213,1.5217
123,1.579,1.4791
124,1.5722,1.497
125,1.5781,1.4999
126,1.6242,1.5194
127,1.5686,1.4917
128,1.5931,1.5067
129,1.6079,1.4851
130,1.5974,1.4989
131,1.5771,1.4793
132,1.5931,1.5209
133,1.5827,1.4975
134,1.6061,1.511
135,1.5986,1.5028
136,1.5792,1.4982
137,1.5642,1.4687
138,1.5862,1.5129
139,1.6035,1.4995
140,1.581,1.4886
141,1.6054,1.4754
142,1.5899,1.5047
143,1.596,1.4836
144,1.5838,1.4901
145,1.585,1.4741
146,1.6175,1.5137
147,1.5994,1.4888
148,1.5843,1.484
149,1.5801,1.5098
150,1.6018,1.5042
151,1.588,1.4986
152,1.5555,1.4967
153,1.5892,1.4982
154,1.5815,1.4802
155,1.6107,1.5069
156,1.6293,1.5479
157,1.6032,1.5151
158,1.5931,1.5135
159,1.6307,1.5068
160,1.5955,1.5075
161,1.5767,1.4857
162,1.6051,1.5334
163,1.5736,1.4737
164,1.5961,1.4765
165,1.5818,1.4862
166,1.5888,1.4917
167,1.5909,1.4977
168,1.6051,1.5182
169,1.6051,1.5321
170,1.5858,1.4839
171,1.59,1.5064
172,1.6095,1.499
173,1.5893,1.504
174,1.595,1.503
175,1.5786,1.4861
176,1.608,1.4816
177,1.6116,1.5063
178,1.6099,1.5104
179,1.6231,1.5273
180,1.5797,1.499
181,1.5874,1.513
182,1.5951,1.4947
183,1.5783,1.5011
184,1.6101,1.503
185,1.5752,1.4811
186,1.5972,1.5282
187,1.5963,1.4986
188,1.5966,1.4955
189,1.5827,1.51
190,1.5721,1.5153
191,1.5998,1.508
192,1.6034,1.5076
193,1.6155,1.5078
194,1.5812,1.4955
195,1.6003,1.5051
196,1.5887,1.5138
197,1.6218,1.5002
198,1.5961,1.5029
199,1.6036,1.4939
200,1.5837,1.5138
201,1.5983,1.4744
202,1.6031,1.5092
203,1.6128,1.5039
204,1.5931,1.5096
205,1.5902,1.521
206,1.6056,1.4933
207,1.5905,1.5067
208,1.5813,1.5062
209,1.5685,1.4914
210,1.59,1.5167
211,1.6195,1.5303
212,1.5963,1.4885
213,1.5808,1.4784
214,1.6047,1.52
215,1.5899,1.4836
216,1.6135,1.5122
217,1.6019,1.5218
218,1.5711,1.4998
219,1.5784,1.4849
220,1.5933,1.482
221,1.5855,1.5097
222,1.593,1.4943
223,1.6028,1.5206
224,1.5857,1.5008
225,1.5771,1.4597
226,1.5951,1.4991
227,1.5917,1.5015
228,1.5987,1.5016
229,1.5864,1.473
230,1.5905,1.51
231,1.586,1.5083
232,1.5869,1.5126
233,1.6049,1.5038
234,1.5941,1.5102
235,1.5704,1.4613
236,1.5893,1.4963
237,1.6036,1.5137
238,1.5711,1.4693
239,1.5651,1.4797
240,1.6245,1.5321
241,1.6079,1.5082
242,1.5999,1.5421
243,1.5812,1.484
244,1.5831,1.4799
245,1.6092,1.5102
246,1.5657,1.499
247,1.6035,1.5065
248,1.6012,1.5058
249,1.583,1.518
250,1.6157,1.5116
251,1.5804,1.4932
252,1.5831,1.5105
253,1.5939,1.5121
254,1.5772,1.4978
255,1.5952,1.5061
256,1.601,1.5143
257,1.5987,1.5
258,1.5693,1.4912
259,1.5824,1.4959
260,1.5849,1.4921
261,1.5936,1.5044
262,1.6031,1.483
263,1.5998,1.4743
264,1.6019,1.5167
265,1.5702,1.4925
266,1.6108,1.5022
267,1.608,1.5091
268,1.6037,1.5082
269,1.5886,1.499
270,1.5903,1.5082
271,1.5998,1.501
272,1.5991,1.5073
273,1.5877,1.515
274,1.6278,1.4909
275,1.6007,1.5192
276,1.5868,1.5067
